id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
888277275071248361,Opera Square Apartment in the Heart of Antwerp 504,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,,1,43,2024-11-03,2.01,55,282,15,
888285601960396851,Maison Nationale Deluxe Suite,450285303,Lander,,Sint-Andries,51.2160233,4.399328,Entire home/apt,212,1,1,2023-05-21,0.04,11,331,0,
888288937399065592,Opera Square Apartment in the Heart of Antwerp 404,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,9,2024-10-31,0.44,55,274,6,
888381317556175763,1 room & private bathroom in sixties app. (2 pers),119122127,Bjorn,,Amandus - Atheneum,51.22017,4.42512,Private room,75,2,31,2025-03-09,1.39,2,331,20,
888907413323094731,Opera Square Apartment in the Heart of Antwerp 701,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,57,2024-12-31,2.62,55,339,42,
888918161691062336,Opera Square Apartment in the Heart of Antwerp 302,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,16,2025-03-16,0.72,55,299,10,
888951433816392943,"Cosy place in Antwerp, near Roma & Tomorrowland",101372215,Sam,,Borgerhout Intra Muros Zuid,51.21367,4.4406,Entire home/apt,70,3,15,2025-01-02,0.67,1,161,2,
888990306287836310,Charming & Spacious City Center Apartments L101,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,49,1,27,2025-03-18,1.22,55,348,14,
889011285425865271,Charming & Spacious City Center Apartments R202,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,49,1,45,2025-02-28,2.00,55,301,30,
889023249824025315,Charming & Spacious City Center Apartments R302,490705947,Emma,,Amandus - Atheneum,51.2188325,4.4239681,Entire home/apt,50,1,41,2025-02-16,1.84,55,316,13,
890300092013753647,Ruime Gezinswoning Antwerpen,35816475,Martijn,,Linkeroever,51.2223791,4.3851219,Entire home/apt,,5,3,2025-01-02,0.16,1,0,2,
